time	V(n001)	V(n002)
0.000000000000000e+00	5.000000e+00	0.000000e+00
1.000000000583867e-07	5.000000e+00	0.000000e+00
1.000110294580026e-07	5.000006e+00	5.514700e-02
1.000257350280975e-07	5.000022e+00	1.286748e-01
1.000551466123767e-07	5.000079e+00	2.757328e-01
1.001139697809350e-07	5.000295e+00	5.698486e-01
1.002316156739624e-07	5.001113e+00	1.158078e+00
1.004669074600173e-07	5.004153e+00	2.334537e+00
1.009374910321270e-07	5.014874e+00	4.687455e+00
1.010000001411271e-07	5.016710e+00	5.000000e+00
1.010941168555490e-07	5.019337e+00	5.000000e+00
1.012823502843929e-07	5.024262e+00	5.000000e+00
1.016588171420807e-07	5.032409e+00	5.000000e+00
1.024117513015455e-07	5.043561e+00	5.000000e+00
1.034917513909051e-07	5.051790e+00	5.000000e+00
1.045717514802647e-07	5.054897e+00	5.000000e+00
1.056517515696243e-07	5.055529e+00	5.000000e+00
1.067317516589839e-07	5.054956e+00	5.000000e+00
1.078117517483435e-07	5.053788e+00	5.000000e+00
1.099717519270627e-07	5.050679e+00	5.000000e+00
1.121317521057819e-07	5.047119e+00	5.000000e+00
1.142917522845011e-07	5.043199e+00	5.000000e+00
1.153717523738607e-07	5.040999e+00	5.000000e+00
1.164517524632203e-07	5.038473e+00	5.000000e+00
1.175317525525799e-07	5.035446e+00	5.000000e+00
1.186117526419395e-07	5.031571e+00	5.000000e+00
1.196917527312991e-07	5.026017e+00	5.000000e+00
1.207717528206587e-07	5.017282e+00	5.000000e+00
1.218517529100183e-07	5.002989e+00	5.000000e+00
1.229317529993779e-07	4.979832e+00	5.000000e+00
1.240117530887375e-07	4.943882e+00	5.000000e+00
1.250917531780971e-07	4.891500e+00	5.000000e+00
1.261717532674567e-07	4.820556e+00	5.000000e+00
1.272517533568163e-07	4.731151e+00	5.000000e+00
1.283317534461759e-07	4.625373e+00	5.000000e+00
1.294117535355355e-07	4.506338e+00	5.000000e+00
1.304917536248951e-07	4.377199e+00	5.000000e+00
1.315717537142547e-07	4.240582e+00	5.000000e+00
1.337317538929739e-07	3.952412e+00	5.000000e+00
1.351203254364362e-07	3.758009e+00	5.000000e+00
1.365088969798986e-07	3.563364e+00	5.000000e+00
1.378974685233609e-07	3.368477e+00	5.000000e+00
1.392860400668233e-07	3.173349e+00	5.000000e+00
1.406746116102856e-07	2.977979e+00	5.000000e+00
1.420631831537479e-07	2.782367e+00	5.000000e+00
1.434517546972103e-07	2.586513e+00	5.000000e+00
1.449946119677240e-07	2.371545e+00	5.000000e+00
1.465374692382377e-07	2.162418e+00	5.000000e+00
1.480803265087514e-07	1.959132e+00	5.000000e+00
1.496231837792651e-07	1.761687e+00	5.000000e+00
1.511660410497789e-07	1.570084e+00	5.000000e+00
1.527088983202926e-07	1.384321e+00	5.000000e+00
1.542517555908063e-07	1.204400e+00	5.000000e+00
1.564117557695255e-07	9.719561e-01	5.000000e+00
1.574917558588851e-07	8.639596e-01	5.000000e+00
1.585717559482447e-07	7.625822e-01	5.000000e+00
1.596517560376043e-07	6.690972e-01	5.000000e+00
1.607317561269639e-07	5.854762e-01	5.000000e+00
1.618117562163235e-07	5.153483e-01	5.000000e+00
1.628917563056831e-07	4.629004e-01	5.000000e+00
1.639717563950427e-07	4.209481e-01	5.000000e+00
1.650517564844023e-07	3.849119e-01	5.000000e+00
1.661317565737619e-07	3.528500e-01	5.000000e+00
1.672117566631215e-07	3.236926e-01	5.000000e+00
1.682917567524811e-07	2.967755e-01	5.000000e+00
1.693717568418407e-07	2.716545e-01	5.000000e+00
1.715317570205599e-07	2.256363e-01	5.000000e+00
1.736917571992791e-07	1.840284e-01	5.000000e+00
1.747717572886387e-07	1.646139e-01	5.000000e+00
1.758517573779983e-07	1.460857e-01	5.000000e+00
1.769317574673579e-07	1.284966e-01	5.000000e+00
1.780117575567175e-07	1.119894e-01	5.000000e+00
1.790917576460771e-07	9.673247e-02	5.000000e+00
1.801717577354367e-07	8.307711e-02	5.000000e+00
1.812517578247963e-07	7.141896e-02	5.000000e+00
1.823317579141559e-07	6.188196e-02	5.000000e+00
1.834117580035155e-07	5.434966e-02	5.000000e+00
1.844917580928751e-07	4.851409e-02	5.000000e+00
1.855717581822347e-07	4.400776e-02	5.000000e+00
1.866517582715943e-07	4.050365e-02	5.000000e+00
1.877317583609539e-07	3.774992e-02	5.000000e+00
1.888117584503135e-07	3.556237e-02	5.000000e+00
1.898917585396731e-07	3.380692e-02	5.000000e+00
1.909717586290327e-07	3.238523e-02	5.000000e+00
1.920517587183923e-07	3.122433e-02	5.000000e+00
1.942117588971115e-07	2.947919e-02	5.000000e+00
1.963717590758307e-07	2.827133e-02	5.000000e+00
1.996117593439095e-07	2.709101e-02	5.000000e+00
2.017717595226287e-07	2.663902e-02	5.000000e+00
2.039317597013479e-07	2.625690e-02	5.000000e+00
2.060917598800671e-07	2.594464e-02	5.000000e+00
2.082517600587863e-07	2.570225e-02	5.000000e+00
2.104117602375055e-07	2.552973e-02	5.000000e+00
2.125717604162247e-07	2.542707e-02	5.000000e+00
2.147317605949439e-07	2.539427e-02	5.000000e+00
2.226272233547227e-07	2.530225e-02	5.000000e+00
2.305226861145014e-07	2.523003e-02	5.000000e+00
2.384181488742801e-07	2.517759e-02	5.000000e+00
2.463136116340589e-07	2.514495e-02	5.000000e+00
2.542090743938376e-07	2.513209e-02	5.000000e+00
2.621045371536164e-07	2.513903e-02	5.000000e+00
2.699999999133951e-07	2.516575e-02	5.000000e+00
