time	V(n001)	V(n002)
0.000000000000000e+00	2.516564e-02	5.000000e+00
1.010000000301048e-07	2.516564e-02	5.000000e+00
1.013000000549269e-07	2.508974e-02	3.500000e+00
1.017000000880230e-07	2.519899e-02	1.500000e+00
1.020000001128452e-07	2.550840e-02	0.000000e+00
1.027200001724182e-07	2.716207e-02	0.000000e+00
1.034400002319913e-07	2.887924e-02	0.000000e+00
1.041600002915644e-07	3.065990e-02	0.000000e+00
1.048800003511374e-07	3.250406e-02	0.000000e+00
1.056000004107105e-07	3.441171e-02	0.000000e+00
1.063200004702836e-07	3.638285e-02	0.000000e+00
1.070400005298566e-07	3.841750e-02	0.000000e+00
1.126400005491135e-07	5.458716e-02	0.000000e+00
1.178400005669949e-07	6.979571e-02	0.000000e+00
1.230400005848762e-07	8.523633e-02	0.000000e+00
1.282400006027576e-07	1.009090e-01	0.000000e+00
1.334400006206390e-07	1.168138e-01	0.000000e+00
1.386400006385204e-07	1.329506e-01	0.000000e+00
1.438400006564018e-07	1.493195e-01	0.000000e+00
1.490400006742831e-07	1.659205e-01	0.000000e+00
1.546400006935400e-07	1.841968e-01	0.000000e+00
1.602400007127969e-07	2.035602e-01	0.000000e+00
1.658400007320537e-07	2.240108e-01	0.000000e+00
1.714400007513106e-07	2.455485e-01	0.000000e+00
1.770400007705675e-07	2.681734e-01	0.000000e+00
1.826400007898243e-07	2.918853e-01	0.000000e+00
1.882400008090812e-07	3.166844e-01	0.000000e+00
1.966400008379665e-07	3.582742e-01	0.000000e+00
2.050400008668518e-07	4.062479e-01	0.000000e+00
2.106400008861087e-07	4.437461e-01	0.000000e+00
2.134400008957371e-07	4.650292e-01	0.000000e+00
2.162400009053655e-07	4.887797e-01	0.000000e+00
2.190400009149940e-07	5.161284e-01	0.000000e+00
2.218400009246224e-07	5.478085e-01	0.000000e+00
2.274400009438793e-07	6.208037e-01	0.000000e+00
2.330400009631362e-07	7.033064e-01	0.000000e+00
2.414400009920215e-07	8.401110e-01	0.000000e+00
2.494400010195312e-07	9.838885e-01	0.000000e+00
