Freq.	V(n003)
1.00000000000000e+00	(-6.37830793274532e+01dB,-9.00000626939462e+01°)
1.00230523807790e+00	(-6.37630793274251e+01dB,-9.00000628384707e+01°)
1.00461579027839e+00	(-6.37430793273969e+01dB,-9.00000629833283e+01°)
1.00693166885180e+00	(-6.37230793273686e+01dB,-9.00000631285199e+01°)
1.00925288607668e+00	(-6.37030793273401e+01dB,-9.00000632740462e+01°)
1.01157945425990e+00	(-6.36830793273115e+01dB,-9.00000634199079e+01°)
1.01391138573668e+00	(-6.36630793272828e+01dB,-9.00000635661059e+01°)
1.01624869287070e+00	(-6.36430793272539e+01dB,-9.00000637126409e+01°)
1.01859138805412e+00	(-6.36230793272249e+01dB,-9.00000638595137e+01°)
1.02093948370768e+00	(-6.36030793271958e+01dB,-9.00000640067251e+01°)
1.02329299228075e+00	(-6.35830793271666e+01dB,-9.00000641542758e+01°)
1.02565192625141e+00	(-6.35630793271372e+01dB,-9.00000643021667e+01°)
1.02801629812647e+00	(-6.35430793271076e+01dB,-9.00000644503985e+01°)
1.03038612044162e+00	(-6.35230793270780e+01dB,-9.00000645989720e+01°)
1.03276140576140e+00	(-6.35030793270482e+01dB,-9.00000647478880e+01°)
1.03514216667934e+00	(-6.34830793270182e+01dB,-9.00000648971473e+01°)
1.03752841581801e+00	(-6.34630793269882e+01dB,-9.00000650467507e+01°)
1.03992016582906e+00	(-6.34430793269579e+01dB,-9.00000651966989e+01°)
1.04231742939330e+00	(-6.34230793269276e+01dB,-9.00000653469929e+01°)
1.04472021922080e+00	(-6.34030793268971e+01dB,-9.00000654976332e+01°)
1.04712854805090e+00	(-6.33830793268665e+01dB,-9.00000656486209e+01°)
1.04954242865232e+00	(-6.33630793268357e+01dB,-9.00000657999566e+01°)
1.05196187382322e+00	(-6.33430793268047e+01dB,-9.00000659516411e+01°)
1.05438689639126e+00	(-6.33230793267737e+01dB,-9.00000661036754e+01°)
1.05681750921366e+00	(-6.33030793267425e+01dB,-9.00000662560601e+01°)
1.05925372517729e+00	(-6.32830793267111e+01dB,-9.00000664087961e+01°)
1.06169555719872e+00	(-6.32630793266796e+01dB,-9.00000665618842e+01°)
1.06414301822431e+00	(-6.32430793266480e+01dB,-9.00000667153251e+01°)
1.06659612123026e+00	(-6.32230793266162e+01dB,-9.00000668691198e+01°)
1.06905487922266e+00	(-6.32030793265843e+01dB,-9.00000670232691e+01°)
1.07151930523760e+00	(-6.31830793265522e+01dB,-9.00000671777737e+01°)
1.07398941234124e+00	(-6.31630793265200e+01dB,-9.00000673326345e+01°)
1.07646521362983e+00	(-6.31430793264876e+01dB,-9.00000674878522e+01°)
1.07894672222983e+00	(-6.31230793264551e+01dB,-9.00000676434278e+01°)
1.08143395129794e+00	(-6.31030793264224e+01dB,-9.00000677993620e+01°)
1.08392691402120e+00	(-6.30830793263896e+01dB,-9.00000679556557e+01°)
1.08642562361706e+00	(-6.30630793263566e+01dB,-9.00000681123096e+01°)
1.08893009333343e+00	(-6.30430793263234e+01dB,-9.00000682693247e+01°)
1.09144033644875e+00	(-6.30230793262902e+01dB,-9.00000684267017e+01°)
1.09395636627209e+00	(-6.30030793262567e+01dB,-9.00000685844416e+01°)
1.09647819614318e+00	(-6.29830793262231e+01dB,-9.00000687425451e+01°)
1.09900583943252e+00	(-6.29630793261894e+01dB,-9.00000689010130e+01°)
1.10153930954141e+00	(-6.29430793261555e+01dB,-9.00000690598462e+01°)
1.10407861990207e+00	(-6.29230793261214e+01dB,-9.00000692190456e+01°)
1.10662378397766e+00	(-6.29030793260872e+01dB,-9.00000693786120e+01°)
1.10917481526240e+00	(-6.28830793260528e+01dB,-9.00000695385462e+01°)
1.11173172728159e+00	(-6.28630793260183e+01dB,-9.00000696988491e+01°)
1.11429453359173e+00	(-6.28430793259836e+01dB,-9.00000698595216e+01°)
1.11686324778056e+00	(-6.28230793259487e+01dB,-9.00000700205644e+01°)
1.11943788346715e+00	(-6.28030793259137e+01dB,-9.00000701819785e+01°)
1.12201845430196e+00	(-6.27830793258785e+01dB,-9.00000703437646e+01°)
1.12460497396692e+00	(-6.27630793258432e+01dB,-9.00000705059238e+01°)
1.12719745617551e+00	(-6.27430793258077e+01dB,-9.00000706684567e+01°)
1.12979591467279e+00	(-6.27230793257720e+01dB,-9.00000708313643e+01°)
1.13240036323555e+00	(-6.27030793257362e+01dB,-9.00000709946475e+01°)
1.13501081567231e+00	(-6.26830793257002e+01dB,-9.00000711583070e+01°)
1.13762728582343e+00	(-6.26630793256641e+01dB,-9.00000713223439e+01°)
1.14024978756117e+00	(-6.26430793256277e+01dB,-9.00000714867589e+01°)
1.14287833478977e+00	(-6.26230793255912e+01dB,-9.00000716515528e+01°)
1.14551294144553e+00	(-6.26030793255546e+01dB,-9.00000718167267e+01°)
1.14815362149688e+00	(-6.25830793255177e+01dB,-9.00000719822814e+01°)
1.15080038894443e+00	(-6.25630793254807e+01dB,-9.00000721482177e+01°)
1.15345325782109e+00	(-6.25430793254435e+01dB,-9.00000723145365e+01°)
1.15611224219210e+00	(-6.25230793254062e+01dB,-9.00000724812387e+01°)
1.15877735615512e+00	(-6.25030793253687e+01dB,-9.00000726483252e+01°)
1.16144861384034e+00	(-6.24830793253310e+01dB,-9.00000728157969e+01°)
1.16412602941049e+00	(-6.24630793252931e+01dB,-9.00000729836547e+01°)
1.16680961706096e+00	(-6.24430793252551e+01dB,-9.00000731518994e+01°)
1.16949939101987e+00	(-6.24230793252169e+01dB,-9.00000733205319e+01°)
1.17219536554813e+00	(-6.24030793251785e+01dB,-9.00000734895532e+01°)
1.17489755493953e+00	(-6.23830793251399e+01dB,-9.00000736589641e+01°)
1.17760597352080e+00	(-6.23630793251012e+01dB,-9.00000738287656e+01°)
1.18032063565173e+00	(-6.23430793250622e+01dB,-9.00000739989585e+01°)
1.18304155572516e+00	(-6.23230793250231e+01dB,-9.00000741695437e+01°)
1.18576874816716e+00	(-6.23030793249838e+01dB,-9.00000743405221e+01°)
1.18850222743701e+00	(-6.22830793249444e+01dB,-9.00000745118947e+01°)
1.19124200802737e+00	(-6.22630793249047e+01dB,-9.00000746836624e+01°)
1.19398810446427e+00	(-6.22430793248649e+01dB,-9.00000748558260e+01°)
1.19674053130724e+00	(-6.22230793248249e+01dB,-9.00000750283865e+01°)
1.19949930314937e+00	(-6.22030793247847e+01dB,-9.00000752013448e+01°)
1.20226443461741e+00	(-6.21830793247443e+01dB,-9.00000753747018e+01°)
1.20503594037179e+00	(-6.21630793247037e+01dB,-9.00000755484584e+01°)
1.20781383510677e+00	(-6.21430793246629e+01dB,-9.00000757226156e+01°)
1.21059813355048e+00	(-6.21230793246220e+01dB,-9.00000758971743e+01°)
1.21338885046497e+00	(-6.21030793245809e+01dB,-9.00000760721353e+01°)
1.21618600064636e+00	(-6.20830793245395e+01dB,-9.00000762474997e+01°)
1.21898959892486e+00	(-6.20630793244980e+01dB,-9.00000764232684e+01°)
1.22179966016487e+00	(-6.20430793244563e+01dB,-9.00000765994422e+01°)
1.22461619926504e+00	(-6.20230793244144e+01dB,-9.00000767760221e+01°)
1.22743923115840e+00	(-6.20030793243723e+01dB,-9.00000769530091e+01°)
1.23026877081238e+00	(-6.19830793243300e+01dB,-9.00000771304042e+01°)
