Freq.	V(n003)
1.00000000000000e+00	(2.68924807771532e+01dB,1.79139094856631e+02°)
1.00230523807790e+00	(2.68924762537774e+01dB,1.79137110564833e+02°)
1.00461579027839e+00	(2.68924717095275e+01dB,1.79135121700846e+02°)
1.00693166885180e+00	(2.68924671444869e+01dB,1.79133128254127e+02°)
1.00925288607668e+00	(2.68924625581991e+01dB,1.79131130214160e+02°)
1.01157945425990e+00	(2.68924579507469e+01dB,1.79129127570355e+02°)
1.01391138573668e+00	(2.68924533220326e+01dB,1.79127120312113e+02°)
1.01624869287070e+00	(2.68924486719581e+01dB,1.79125108428811e+02°)
1.01859138805412e+00	(2.68924440004248e+01dB,1.79123091909803e+02°)
1.02093948370768e+00	(2.68924393073337e+01dB,1.79121070744418e+02°)
1.02329299228075e+00	(2.68924345925855e+01dB,1.79119044921958e+02°)
1.02565192625141e+00	(2.68924298562599e+01dB,1.79117014431687e+02°)
1.02801629812647e+00	(2.68924250977172e+01dB,1.79114979262912e+02°)
1.03038612044162e+00	(2.68924203172161e+01dB,1.79112939404827e+02°)
1.03276140576140e+00	(2.68924155151948e+01dB,1.79110894846587e+02°)
1.03514216667934e+00	(2.68924106902928e+01dB,1.79108845577494e+02°)
1.03752841581801e+00	(2.68924058438464e+01dB,1.79106791586565e+02°)
1.03992016582906e+00	(2.68924009743143e+01dB,1.79104732863070e+02°)
1.04231742939330e+00	(2.68923960826723e+01dB,1.79102669396010e+02°)
1.04472021922080e+00	(2.68923911686369e+01dB,1.79100601174484e+02°)
1.04712854805090e+00	(2.68923862317442e+01dB,1.79098528187583e+02°)
1.04954242865232e+00	(2.68923812720695e+01dB,1.79096450424321e+02°)
1.05196187382322e+00	(2.68923762895078e+01dB,1.79094367873703e+02°)
1.05438689639126e+00	(2.68923712839533e+01dB,1.79092280524709e+02°)
1.05681750921366e+00	(2.68923662551202e+01dB,1.79090188366314e+02°)
1.05925372517729e+00	(2.68923612034414e+01dB,1.79088091387393e+02°)
1.06169555719872e+00	(2.68923561284503e+01dB,1.79085989576885e+02°)
1.06414301822431e+00	(2.68923510298593e+01dB,1.79083882923690e+02°)
1.06659612123026e+00	(2.68923459075605e+01dB,1.79081771416659e+02°)
1.06905487922266e+00	(2.68923407616251e+01dB,1.79079655044603e+02°)
1.07151930523760e+00	(2.68923355923039e+01dB,1.79077533796288e+02°)
1.07398941234124e+00	(2.68923303991275e+01dB,1.79075407660527e+02°)
1.07646521362983e+00	(2.68923251816262e+01dB,1.79073276626106e+02°)
1.07894672222983e+00	(2.68923199402291e+01dB,1.79071140681697e+02°)
1.08143395129794e+00	(2.68923146748249e+01dB,1.79068999815998e+02°)
1.08392691402120e+00	(2.68923093847627e+01dB,1.79066854017738e+02°)
1.08642562361706e+00	(2.68923040702899e+01dB,1.79064703275528e+02°)
1.08893009333343e+00	(2.68922987316538e+01dB,1.79062547577951e+02°)
1.09144033644875e+00	(2.68922933680217e+01dB,1.79060386913676e+02°)
1.09395636627209e+00	(2.68922879799994e+01dB,1.79058221271199e+02°)
1.09647819614318e+00	(2.68922825669331e+01dB,1.79056050639117e+02°)
1.09900583943252e+00	(2.68922771288881e+01dB,1.79053875005929e+02°)
1.10153930954141e+00	(2.68922716657491e+01dB,1.79051694360125e+02°)
1.10407861990207e+00	(2.68922661774003e+01dB,1.79049508690168e+02°)
1.10662378397766e+00	(2.68922606637254e+01dB,1.79047317984496e+02°)
1.10917481526240e+00	(2.68922551246075e+01dB,1.79045122231519e+02°)
1.11173172728159e+00	(2.68922495601093e+01dB,1.79042921419603e+02°)
1.11429453359173e+00	(2.68922439693932e+01dB,1.79040715537181e+02°)
1.11686324778056e+00	(2.68922383534201e+01dB,1.79038504572469e+02°)
1.11943788346715e+00	(2.68922327113514e+01dB,1.79036288513848e+02°)
1.12201845430196e+00	(2.68922270434274e+01dB,1.79034067349556e+02°)
1.12460497396692e+00	(2.68922213488085e+01dB,1.79031841067922e+02°)
1.12719745617551e+00	(2.68922156284531e+01dB,1.79029609657052e+02°)
1.12979591467279e+00	(2.68922098817006e+01dB,1.79027373105201e+02°)
1.13240036323555e+00	(2.68922041080693e+01dB,1.79025131400576e+02°)
1.13501081567231e+00	(2.68921983081565e+01dB,1.79022884531244e+02°)
1.13762728582343e+00	(2.68921924811197e+01dB,1.79020632485395e+02°)
1.14024978756117e+00	(2.68921866271953e+01dB,1.79018375251079e+02°)
1.14287833478977e+00	(2.68921807467987e+01dB,1.79016112816298e+02°)
1.14551294144553e+00	(2.68921748387262e+01dB,1.79013845169202e+02°)
1.14815362149688e+00	(2.68921689035721e+01dB,1.79011572297718e+02°)
1.15080038894443e+00	(2.68921629408509e+01dB,1.79009294189864e+02°)
1.15345325782109e+00	(2.68921569511556e+01dB,1.79007010833511e+02°)
1.15611224219210e+00	(2.68921509334601e+01dB,1.79004722216680e+02°)
1.15877735615512e+00	(2.68921448879966e+01dB,1.79002428327228e+02°)
1.16144861384034e+00	(2.68921388144571e+01dB,1.79000129153042e+02°)
1.16412602941049e+00	(2.68921327130726e+01dB,1.78997824681921e+02°)
1.16680961706096e+00	(2.68921265835341e+01dB,1.78995514901698e+02°)
1.16949939101987e+00	(2.68921204257116e+01dB,1.78993199800155e+02°)
1.17219536554813e+00	(2.68921142396546e+01dB,1.78990879365029e+02°)
1.17489755493953e+00	(2.68921080248722e+01dB,1.78988553584088e+02°)
1.17760597352080e+00	(2.68921017812328e+01dB,1.78986222445030e+02°)
1.18032063565173e+00	(2.68920955089637e+01dB,1.78983885935488e+02°)
1.18304155572516e+00	(2.68920892079322e+01dB,1.78981544043105e+02°)
1.18576874816716e+00	(2.68920828772852e+01dB,1.78979196755575e+02°)
1.18850222743701e+00	(2.68920765181477e+01dB,1.78976844060344e+02°)
1.19124200802737e+00	(2.68920701289460e+01dB,1.78974485945132e+02°)
1.19398810446427e+00	(2.68920637108038e+01dB,1.78972122397326e+02°)
1.19674053130724e+00	(2.68920572630455e+01dB,1.78969753404488e+02°)
1.19949930314937e+00	(2.68920507853547e+01dB,1.78967378954110e+02°)
1.20226443461741e+00	(2.68920442775940e+01dB,1.78964999033637e+02°)
1.20503594037179e+00	(2.68920377401653e+01dB,1.78962613630421e+02°)
1.20781383510677e+00	(2.68920311720307e+01dB,1.78960222731951e+02°)
1.21059813355048e+00	(2.68920245741302e+01dB,1.78957826325461e+02°)
1.21338885046497e+00	(2.68920179454247e+01dB,1.78955424398381e+02°)
1.21618600064636e+00	(2.68920112864932e+01dB,1.78953016937928e+02°)
